,artist_name,track_name,track_id,popularity,url,images,date,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Linkin Park,In The End,60a0Rd6pjrkxjPbaKzXjfq,83,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq,https://i.scdn.co/image/66ff51342a9b250bf5b998fd0ec8e977671468bc,2000-10-24,0.0103,0.542,216933,0.853,0.0,3,0.108,-6.407,0,0.0498,105.256,4,0.37
1,3 Doors Down,Kryptonite,6ZOBP3NvffbU4SZcrnt1k6,78,https://open.spotify.com/track/6ZOBP3NvffbU4SZcrnt1k6,https://i.scdn.co/image/ea1bb526f0b9d2a3375427c70af845485f2c55c7,2000,0.00664,0.545,233933,0.865,1.12e-05,11,0.168,-5.708,0,0.0286,99.01,4,0.543
2,Eminem,The Real Slim Shady,3yfqSUWxFvZELEM4PmlwIR,78,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR,https://i.scdn.co/image/135ffbfeb47d564df36fdb4756c070b3ac32cd3b,2000-05-23,0.0339,0.95,284200,0.665,0.0,5,0.0453,-4.286,0,0.061,104.504,4,0.76
3,OutKast,Ms. Jackson,0I3q5fE6wg7LIfHGngUTnV,77,https://open.spotify.com/track/0I3q5fE6wg7LIfHGngUTnV,https://i.scdn.co/image/48787c279dab6e8c1cc3b4beb27875ff37715fec,2000-10-31,0.142,0.843,270507,0.805,0.0,4,0.0771,-5.946,0,0.269,94.946,4,0.615
4,Coldplay,Yellow,3AJwUDP919kvQ9QcozQPxg,81,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,https://i.scdn.co/image/495b0549379fc4c324445fd7d2bfa219a8c18a90,2000-07-10,0.00239,0.429,266773,0.661,0.00013,11,0.234,-7.227,1,0.0281,173.365,4,0.285
5,*NSYNC,Bye Bye Bye,62bOmKYxYg7dhrC6gH9vFn,72,https://open.spotify.com/track/62bOmKYxYg7dhrC6gH9vFn,https://i.scdn.co/image/b8c18208ed80713b9a3aff54125adecb4590ccae,2000-03-21,0.031,0.61,200400,0.926,0.0012,8,0.0821,-4.843,0,0.0479,172.638,4,0.861
6,Nelly,Ride Wit Me,06iMqWThw4w8fTFyccvOwr,73,https://open.spotify.com/track/06iMqWThw4w8fTFyccvOwr,https://i.scdn.co/image/85bec1a0b3b231d9a2162f836f5adea8adb78699,2000-06-27,0.0668,0.854,291782,0.692,0.0,7,0.247,-6.625,1,0.0479,101.865,4,0.753
7,Britney Spears,Oops!...I Did It Again,6naxalmIoLFWR0siv8dnQQ,76,https://open.spotify.com/track/6naxalmIoLFWR0siv8dnQQ,https://i.scdn.co/image/9e037d40a46ccc30791f74958ffd88b6b6efa283,2000-05-15,0.3,0.751,211160,0.834,1.77e-05,1,0.355,-5.444,0,0.0437,95.053,4,0.894
8,The Beatles,Hey Jude - Remastered 2015,0aym2LBJBk9DAYuHHutrIl,77,https://open.spotify.com/track/0aym2LBJBk9DAYuHHutrIl,https://i.scdn.co/image/f8f5aca53b7b2dd79655b5e3ed25d93d45a4d657,2000-11-13,0.0112,0.386,425653,0.607,1.38e-05,10,0.088,-7.7,1,0.0261,147.207,4,0.532
9,Shaggy,It Wasn't Me,1Bt6TZfF8FSqdiHPN0vy4u,68,https://open.spotify.com/track/1Bt6TZfF8FSqdiHPN0vy4u,https://i.scdn.co/image/c189556ce933a7e289a7a1323ae0ec9e0a72c1f4,2000-08-08,0.045,0.852,227600,0.616,0.0,0,0.321,-4.728,1,0.0747,94.758,4,0.685
