artist_name,track_name,track_id,popularity,url,images,date,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
2Pac,Hit 'Em Up - Single Version,0Z2J91b2iTGLVTZC4fKgxf,71,https://open.spotify.com/track/0Z2J91b2iTGLVTZC4fKgxf,https://i.scdn.co/image/43c582cd325743447b21a1ee0946e01daf9ec4a8,1998-01-01,0.0466,0.921,312627,0.843,0.0,7,0.0757,-4.008,1,0.239,95.193,4,0.589
The Goo Goo Dolls,Iris,6Qyc6fS4DsZjB2mRW9DsQs,78,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs,https://i.scdn.co/image/5ca94802a380fb4045ead85c8f366ef828c24e28,1998-09-11,0.00125,0.315,289533,0.715,7.97e-06,11,0.0942,-8.072,0,0.0362,155.925,3,0.497
Donny Osmond,"I'll Make a Man Out of You - From ""Mulan""/Soundtrack",28UMEtwyUUy5u0UWOVHwiI,68,https://open.spotify.com/track/28UMEtwyUUy5u0UWOVHwiI,https://i.scdn.co/image/a1e11b659a05c8d42ea00f1ac92218e4c6bf8268,1998-01-01,0.133,0.656,201680,0.33,0.000109,7,0.0664,-17.503,1,0.0372,113.845,4,0.519
The Offspring,The Kids Aren't Alright,4EchqUKQ3qAQuRNKmeIpnf,77,https://open.spotify.com/track/4EchqUKQ3qAQuRNKmeIpnf,https://i.scdn.co/image/c77a1f3a2de72c2a8fde481a016376ca8ef81b33,1998-11-16,0.00705,0.529,180160,0.943,3.16e-05,1,0.0696,-4.192,1,0.034,99.604,4,0.788
Ms. Lauryn Hill,Doo Wop (That Thing),0uEp9E98JB5awlA084uaIg,73,https://open.spotify.com/track/0uEp9E98JB5awlA084uaIg,https://i.scdn.co/image/f496cbb77ce5b00a40c9b7fb9d6ce3f946dd6550,1998-08-25,0.0393,0.535,320267,0.505,0.0,2,0.0923,-8.926,0,0.245,99.935,4,0.495
New Radicals,You Get What You Give,1Cwsd5xI8CajJz795oy4XF,75,https://open.spotify.com/track/1Cwsd5xI8CajJz795oy4XF,https://i.scdn.co/image/709d5391593a6e667e59417fa60735e7060b2d2a,1998-01-01,0.171,0.618,300773,0.896,0.0,2,0.0875,-5.357,1,0.0307,113.961,4,0.711
Juvenile,Back That Azz Up,6o2g1BJvtYQssH84kBYs7y,67,https://open.spotify.com/track/6o2g1BJvtYQssH84kBYs7y,https://i.scdn.co/image/389a03ceb5d364dafc76bab2ea440977520eadba,1998-01-01,0.017,0.877,265600,0.71,0.0,7,0.1,-7.058,1,0.139,95.832,4,0.51
Korn,Freak On a Leash,6W21LNLz9Sw7sUSNWMSHRu,72,https://open.spotify.com/track/6W21LNLz9Sw7sUSNWMSHRu,https://i.scdn.co/image/3c25d617cb43f2f42acfe6b183902111168fdc23,1998,2.23e-05,0.353,255733,0.898,0.105,2,0.39,-5.877,1,0.052,103.293,4,0.525
Barenaked Ladies,One Week,29hBRadFZf9QTGRHZmxm65,70,https://open.spotify.com/track/29hBRadFZf9QTGRHZmxm65,https://i.scdn.co/image/5ad50e5684f8fb7c44870b6f68c60f06dce012e6,1998-07-07,0.00854,0.702,169760,0.898,0.000154,9,0.0917,-6.003,1,0.0373,112.845,4,0.731
George Michael,Careless Whisper,4jDmJ51x1o9NZB5Nxxc7gY,75,https://open.spotify.com/track/4jDmJ51x1o9NZB5Nxxc7gY,https://i.scdn.co/image/93fd499dc4cf7e8c148f65c43b883b856492b9ea,1998-11-09,0.128,0.574,300107,0.629,0.0,2,0.271,-8.815,0,0.0363,153.119,4,0.786
